District,Year,Season,Cultivated_Extent,Avg_Yield,Production,Season_Encoded,Production_per_Hectare,Prev_Production
Colombo,2006,Maha,3349,3033,8632,1,2.58,0
Gampaha,2006,Maha,8091,3134,21551,1,2.66,0
Kalutara,2006,Maha,11431,3170,33424,1,2.92,0
Galle,2006,Maha,12370,3418,33088,1,2.67,0
Matara,2006,Maha,12858,3692,37477,1,2.91,0
Ratnapura,2006,Maha,11092,3342,31512,1,2.84,0
Kegalle,2006,Maha,8228,3143,24223,1,2.94,0
Kurunegala,2006,Maha,69736,4035,281367,1,4.03,0
Puttalam,2006,Maha,11774,3962,39652,1,3.37,0
Kandy,2006,Maha,12039,3710,35322,1,2.93,0
Matale,2006,Maha,15189,3866,52813,1,3.48,0
NuwaraEliya,2006,Maha,5331,3459,10390,1,1.95,0
Badulla,2006,Maha,22260,4434,83899,1,3.77,0
Monaragala,2006,Maha,23071,4089,92439,1,4.01,0
Jaffna,2006,Maha,6257,2141,11886,1,1.9,0
Kilinochchi,2006,Maha,14345,3344,42569,1,2.97,0
Vavuniya,2006,Maha,4052,4327,16542,1,4.08,0
Mullaitivu,2006,Maha,9235,3624,31575,1,3.42,0
Mannar,2006,Maha,5442,3874,20130,1,3.7,0
Anuradhapura,2006,Maha,57490,4726,218485,1,3.8,0
Polonnaruwa,2006,Maha,50533,5119,228835,1,4.53,0
Trincomalee,2006,Maha,15926,4261,63039,1,3.96,0
Batticaloa,2006,Maha,14685,2891,37476,1,2.55,0
Ampara,2006,Maha,51747,4934,244031,1,4.72,0
Hambantota,2006,Maha,21875,5215,99677,1,4.56,0
Colombo,2006,Yala,456,2537,983,0,2.16,0
Gampaha,2006,Yala,1102,2659,2490,0,2.26,0
Kalutara,2006,Yala,9385,2693,23316,0,2.48,0
Galle,2006,Yala,4895,2728,10453,0,2.14,0
Matara,2006,Yala,11415,3550,31996,0,2.8,0
Ratnapura,2006,Yala,9482,3368,27142,0,2.86,0
Kegalle,2006,Yala,5468,3130,16030,0,2.93,0
Kurunegala,2006,Yala,33338,3653,121783,0,3.65,0
Puttalam,2006,Yala,6574,3647,20378,0,3.1,0
Kandy,2006,Yala,7893,3895,24313,0,3.08,0
Matale,2006,Yala,7268,3587,23447,0,3.23,0
